,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
29207,51820003400,13113140303,-78.90918564907355,38.07641323604379,-84.57893176271875,33.37984531327837,12/21/20 - 12/27/20,4,79.0
29208,51820003400,51171040700,-78.90918564907355,38.07641323604379,-78.67313677647302,38.75723702998391,12/21/20 - 12/27/20,8,159.0
29209,51820003400,51660000102,-78.90918564907355,38.07641323604379,-78.83889013385429,38.43833490869116,12/21/20 - 12/27/20,4,79.0
29210,51820003400,51770000601,-78.90918564907355,38.07641323604379,-79.91364156938025,37.30544785748213,12/21/20 - 12/27/20,4,79.0
29211,51820003400,51660000205,-78.90918564907355,38.07641323604379,-78.85283498358262,38.42250739342922,12/21/20 - 12/27/20,13,259.0
29212,51820003400,51003010700,-78.90918564907355,38.07641323604379,-78.48763286348239,38.07581449297199,12/21/20 - 12/27/20,18,359.0
29213,51820003400,51660000204,-78.90918564907355,38.07641323604379,-78.86168061937161,38.44289796737075,12/21/20 - 12/27/20,4,79.0
29214,51820003400,37081016503,-78.90918564907355,38.07641323604379,-79.9036105183294,36.04834802053171,12/21/20 - 12/27/20,4,79.0
29215,51820003400,51770000300,-78.90918564907355,38.07641323604379,-79.96582364861595,37.31544703156264,12/21/20 - 12/27/20,21,419.0
29216,51820003400,13121001600,-78.90918564907355,38.07641323604379,-84.35553915726784,33.767598181166875,12/21/20 - 12/27/20,4,79.0
29217,51820003400,51163930100,-78.90918564907355,38.07641323604379,-79.28585461948309,37.83834822486506,12/21/20 - 12/27/20,5,99.0
29218,51820003400,37055970200,-78.90918564907355,38.07641323604379,-75.68119841562554,36.03368484966024,12/21/20 - 12/27/20,4,79.0
29219,51820003400,37055970400,-78.90918564907355,38.07641323604379,-75.6220297688342,35.90149342463157,12/21/20 - 12/27/20,4,79.0
29220,51820003400,51820003200,-78.90918564907355,38.07641323604379,-78.89155441698493,38.057856449850966,12/21/20 - 12/27/20,235,4693.0
29221,51820003400,37081012601,-78.90918564907355,38.07641323604379,-79.86926872937855,36.06166183191902,12/21/20 - 12/27/20,4,79.0
29222,51820003400,51109950300,-78.90918564907355,38.07641323604379,-78.14152251449639,38.0623732890019,12/21/20 - 12/27/20,4,79.0
29223,51820003400,51540000800,-78.90918564907355,38.07641323604379,-78.48156399263716,38.05979166603466,12/21/20 - 12/27/20,4,79.0
29224,51820003400,51171040500,-78.90918564907355,38.07641323604379,-78.54427679555116,38.88006239741337,12/21/20 - 12/27/20,8,159.0
29225,51820003400,37081011602,-78.90918564907355,38.07641323604379,-79.84358852008056,36.05288352666562,12/21/20 - 12/27/20,8,159.0
29226,51820003400,51015070900,-78.90918564907355,38.07641323604379,-79.11117286290619,38.09413969307263,12/21/20 - 12/27/20,43,858.0
29227,51820003400,13113140406,-78.90918564907355,38.07641323604379,-84.41771842104109,33.46490043872315,12/21/20 - 12/27/20,4,79.0
29228,51820003400,51155210100,-78.90918564907355,38.07641323604379,-80.63929115168467,37.17467954253336,12/21/20 - 12/27/20,4,79.0
29229,51820003400,51003010300,-78.90918564907355,38.07641323604379,-78.43306613118311,38.12521404776053,12/21/20 - 12/27/20,12,239.0
29230,51820003400,51003010800,-78.90918564907355,38.07641323604379,-78.50438570180305,38.07688683119685,12/21/20 - 12/27/20,18,359.0
29231,51820003400,37081012509,-78.90918564907355,38.07641323604379,-79.8383361827101,36.0975102190345,12/21/20 - 12/27/20,4,79.0
29232,51820003400,51003010500,-78.90918564907355,38.07641323604379,-78.42570577945064,38.04667611657601,12/21/20 - 12/27/20,4,79.0
29233,51820003400,51125950300,-78.90918564907355,38.07641323604379,-78.99112271352264,37.80569821993218,12/21/20 - 12/27/20,4,79.0
29234,51820003400,51820003500,-78.90918564907355,38.07641323604379,-78.92314624785395,38.06576491901115,12/21/20 - 12/27/20,368,7349.0
29235,51820003400,51015070600,-78.90918564907355,38.07641323604379,-78.96760584864602,38.11938335250065,12/21/20 - 12/27/20,102,2036.0
29236,51820003400,51790000600,-78.90918564907355,38.07641323604379,-79.0539614603237,38.13812402944263,12/21/20 - 12/27/20,51,1018.0
29237,51820003400,51087200120,-78.90918564907355,38.07641323604379,-77.63942959188881,37.64709239505381,12/21/20 - 12/27/20,4,79.0
29238,51820003400,51107611801,-78.90918564907355,38.07641323604379,-77.53911434041271,38.94232811048597,12/21/20 - 12/27/20,4,79.0
29239,51820003400,51087201401,-78.90918564907355,38.07641323604379,-77.34978690921771,37.526393383433465,12/21/20 - 12/27/20,4,79.0
29240,51820003400,42101036600,-78.90918564907355,38.07641323604379,-75.13895098586426,39.944860050814086,12/21/20 - 12/27/20,4,79.0
29241,51820003400,51085321300,-78.90918564907355,38.07641323604379,-77.29675990885254,37.59106684999823,12/21/20 - 12/27/20,5,99.0
29242,51820003400,51015070700,-78.90918564907355,38.07641323604379,-79.00672754320817,38.20295936467953,12/21/20 - 12/27/20,8,159.0
29243,51820003400,51678930500,-78.90918564907355,38.07641323604379,-79.44387891747799,37.7825114273123,12/21/20 - 12/27/20,8,159.0
29244,51820003400,51003010601,-78.90918564907355,38.07641323604379,-78.46248267046786,38.08338438596955,12/21/20 - 12/27/20,4,79.0
29245,51820003400,51680000700,-78.90918564907355,38.07641323604379,-79.16266976776214,37.40272729258125,12/21/20 - 12/27/20,4,79.0
29246,51820003400,51790000100,-78.90918564907355,38.07641323604379,-79.0738209590152,38.14986499659639,12/21/20 - 12/27/20,10,199.0
29247,51820003400,51660000302,-78.90918564907355,38.07641323604379,-78.89373008024792,38.427199804526495,12/21/20 - 12/27/20,4,79.0
29248,51820003400,51660000203,-78.90918564907355,38.07641323604379,-78.89449852404343,38.40820685125586,12/21/20 - 12/27/20,4,79.0
29249,51820003400,51171040800,-78.90918564907355,38.07641323604379,-78.6751346014497,38.67976179893604,12/21/20 - 12/27/20,4,79.0
29250,51820003400,51015071200,-78.90918564907355,38.07641323604379,-78.96754136843995,37.97838491641788,12/21/20 - 12/27/20,8,159.0
29251,51820003400,51171040600,-78.90918564907355,38.07641323604379,-78.60645480849742,38.82616179409926,12/21/20 - 12/27/20,4,79.0
29252,51820003400,51003011100,-78.90918564907355,38.07641323604379,-78.69480251635292,38.064469385131005,12/21/20 - 12/27/20,8,159.0
29253,51820003400,42101000402,-78.90918564907355,38.07641323604379,-75.1686952373546,39.95329732442564,12/21/20 - 12/27/20,4,79.0
29254,51820003400,42101980700,-78.90918564907355,38.07641323604379,-75.14443274320868,39.90897902401529,12/21/20 - 12/27/20,4,79.0
29255,51820003400,42099030100,-78.90918564907355,38.07641323604379,-77.13578365767259,40.54562344252531,12/21/20 - 12/27/20,4,79.0
29256,51820003400,51820003400,-78.90918564907355,38.07641323604379,-78.90918564907355,38.07641323604379,12/21/20 - 12/27/20,152,3035.0
29257,51820003400,51680000201,-78.90918564907355,38.07641323604379,-79.22991168602938,37.43098382582136,12/21/20 - 12/27/20,4,79.0
29258,51820003400,51790000500,-78.90918564907355,38.07641323604379,-79.0375336542203,38.16329298570288,12/21/20 - 12/27/20,8,159.0
29259,51820003400,51660000207,-78.90918564907355,38.07641323604379,-78.8692532191031,38.42532498040149,12/21/20 - 12/27/20,4,79.0
29260,51820003400,51540000700,-78.90918564907355,38.07641323604379,-78.49815118038704,38.04830719635013,12/21/20 - 12/27/20,12,239.0
29261,51820003400,51165011500,-78.90918564907355,38.07641323604379,-78.96460590152881,38.39005850432244,12/21/20 - 12/27/20,4,79.0
29262,51820003400,51003011303,-78.90918564907355,38.07641323604379,-78.49451490923835,38.00302081853904,12/21/20 - 12/27/20,8,159.0
29263,51820003400,51003011000,-78.90918564907355,38.07641323604379,-78.58639320067033,38.05968187027254,12/21/20 - 12/27/20,4,79.0
29264,51820003400,51003010903,-78.90918564907355,38.07641323604379,-78.50749957295223,38.03494269728851,12/21/20 - 12/27/20,4,79.0
29265,51820003400,51540000600,-78.90918564907355,38.07641323604379,-78.51094774086317,38.02841338769862,12/21/20 - 12/27/20,12,239.0
29266,51820003400,51680001800,-78.90918564907355,38.07641323604379,-79.23197685822197,37.37832646025648,12/21/20 - 12/27/20,4,79.0
29267,51820003400,51071930100,-78.90918564907355,38.07641323604379,-80.51766998729966,37.32995149307889,12/21/20 - 12/27/20,4,79.0
29268,51820003400,51820003100,-78.90918564907355,38.07641323604379,-78.88994824532945,38.06937063175965,12/21/20 - 12/27/20,180,3594.0
29269,51820003400,51165010400,-78.90918564907355,38.07641323604379,-78.71703641889478,38.55698063489593,12/21/20 - 12/27/20,4,79.0
29270,51820003400,51015071101,-78.90918564907355,38.07641323604379,-79.02018585792166,38.044934915416185,12/21/20 - 12/27/20,37,738.0
29271,51820003400,51790000400,-78.90918564907355,38.07641323604379,-79.06156408685786,38.17842140224265,12/21/20 - 12/27/20,4,79.0
29272,51820003400,51540000900,-78.90918564907355,38.07641323604379,-78.46044837461685,38.045813709148646,12/21/20 - 12/27/20,4,79.0
29273,51820003400,51540000302,-78.90918564907355,38.07641323604379,-78.4638894837757,38.02874089271637,12/21/20 - 12/27/20,8,159.0
29274,51820003400,51820003300,-78.90918564907355,38.07641323604379,-78.89256089667191,38.08632418833176,12/21/20 - 12/27/20,20,399.0
29275,51820003400,51790000200,-78.90918564907355,38.07641323604379,-79.0952131236506,38.14521988283735,12/21/20 - 12/27/20,8,159.0
29276,51820003400,51015071102,-78.90918564907355,38.07641323604379,-79.05881521014139,37.99449792244457,12/21/20 - 12/27/20,4,79.0
29277,51820003400,54067950600,-78.90918564907355,38.07641323604379,-80.68431791035606,38.20936147307837,12/21/20 - 12/27/20,4,79.0
